code,market,status_type,lifecycle_gap_status,active_like_rows,release_like_rows,first_active_event_date,latest_active_event_date,first_release_like_event_date,latest_release_like_event_date,market_rows,market_start,market_end,event_sources,raw_paths,notes
348950,KOSPI,managed_issue,missing_release_resume_evidence,1,0,2026-05-18,2026-05-18,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,release_resume_collection_target
348950,KOSPI,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,release_resume_collection_target
352770,KOSDAQ,managed_issue,missing_release_resume_evidence,1,0,2025-04-07,2025-04-07,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,release_resume_collection_target
352770,KOSDAQ,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,release_resume_collection_target
354200,KOSDAQ,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,release_resume_collection_target
362990,KOSDAQ,market_alert,missing_release_resume_evidence,1,0,2026-07-03,2026-07-03,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/market_alert_caution.xls,release_resume_collection_target
368970,KOSDAQ,market_alert,missing_release_resume_evidence,1,0,2026-07-08,2026-07-08,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_caution.xls,release_resume_collection_target
372800,KOSDAQ,market_alert,missing_release_resume_evidence,1,0,2026-07-08,2026-07-08,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_warning.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/market_alert_warning.xls,release_resume_collection_target
373790,UNKNOWN,managed_issue,missing_release_resume_evidence,1,0,2026-07-01,2026-07-01,,,0,,,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,market_data_absent_for_code;release_resume_collection_target
377030,KOSDAQ,managed_issue,missing_release_resume_evidence,1,0,2026-03-17,2026-03-17,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,release_resume_collection_target
377030,KOSDAQ,market_alert,missing_release_resume_evidence,1,0,2026-07-03,2026-07-03,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/market_alert_caution.xls,release_resume_collection_target
377460,KOSDAQ,managed_issue,missing_release_resume_evidence,1,0,2023-10-27,2023-10-27,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,release_resume_collection_target
